Title,Price,Availability,Rating,Price_Category,Sentiment
A Light in the Attic,51.77,In stock,3,High,Positive
Tipping the Velvet,53.74,In stock,1,High,Neutral
Soumission,50.1,In stock,1,High,Neutral
Sharp Objects,47.82,In stock,4,High,Negative
Sapiens: A Brief History of Humankind,54.23,In stock,5,High,Neutral
The Requiem Red,22.65,In stock,1,Medium,Neutral
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4,Medium,Negative
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3,Low,Negative
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4,Medium,Positive
The Black Maria,52.15,In stock,1,High,Negative
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2,Low,Neutral
Shakespeare's Sonnets,20.66,In stock,4,Medium,Neutral
Set Me Free,17.46,In stock,5,Low,Positive
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5,High,Positive
Rip it Up and Start Again,35.02,In stock,5,Medium,Neutral
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3,High,Neutral
Olio,23.88,In stock,1,Medium,Neutral
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1,Medium,Positive
Libertarianism for Beginners,51.33,In stock,2,High,Neutral
It's Only the Himalayas,45.17,In stock,2,High,Neutral
In Her Wake,12.84,In stock,1,Low,Neutral
How Music Works,37.32,In stock,2,Medium,Neutral
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,3,Medium,Positive
Chase Me (Paris Nights #2),25.27,In stock,5,Medium,Neutral
Black Dust,34.53,In stock,5,Medium,Negative
Birdsong: A Story in Pictures,54.64,In stock,3,High,Neutral
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,3,Medium,Neutral
Aladdin and His Wonderful Lamp,53.13,In stock,3,High,Positive
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,In stock,5,High,Neutral
Wall and Piece,44.18,In stock,4,High,Neutral
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,5,Low,Neutral
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,3,Medium,Positive
The Elephant Tree,23.82,In stock,5,Medium,Neutral
The Bear and the Piano,36.89,In stock,1,Medium,Neutral
Sophie's World,15.94,In stock,5,Low,Neutral
Penny Maybe,33.29,In stock,3,Medium,Neutral
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2,Low,Neutral
"In a Dark, Dark Wood",19.63,In stock,1,Low,Negative
Behind Closed Doors,52.22,In stock,4,High,Negative
You can't bury them all: Poems,33.63,In stock,2,Medium,Neutral
Slow States of Collapse: Poems,57.31,In stock,3,High,Negative
Reasons to Stay Alive,26.41,In stock,2,Medium,Positive
Private Paris (Private #10),47.61,In stock,5,High,Neutral
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,5,Medium,Positive
Without Borders (Wanderlove #1),45.07,In stock,2,High,Neutral
When We Collided,31.77,In stock,1,Medium,Neutral
"We Love You, Charlie Freeman",50.27,In stock,5,High,Positive
Untitled Collection: Sabbath Poems 2014,14.27,In stock,4,Low,Neutral
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,4,High,Negative
Unicorn Tracks,18.78,In stock,3,Low,Neutral
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,1,Medium,Neutral
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,1,Low,Neutral
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,3,Medium,Neutral
This One Summer,19.49,In stock,4,Low,Neutral
Thirst,17.27,In stock,5,Low,Neutral
The Torch Is Passed: A Harding Family Story,19.09,In stock,1,Low,Neutral
The Secret of Dreadwillow Carse,56.13,In stock,1,High,Negative
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In stock,1,High,Positive
The Past Never Ends,56.5,In stock,4,High,Negative
The Natural History of Us (The Fine Art of Pretending #2),45.22,In stock,3,High,Positive
The Nameless City (The Nameless City #1),38.16,In stock,4,Medium,Negative
The Murder That Never Was (Forensic Instincts #5),54.11,In stock,3,High,Neutral
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,In stock,4,High,Positive
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,In stock,4,Medium,Positive
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock,3,Low,Positive
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,In stock,5,Medium,Neutral
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,In stock,1,Medium,Positive
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,In stock,1,High,Neutral
The Death of Humanity: and the Case for Life,58.11,In stock,4,High,Neutral
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,In stock,3,High,Neutral
The Art Forger,40.76,In stock,3,High,Neutral
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock,1,Low,Positive
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,5,Medium,Positive
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,In stock,4,High,Positive
Soul Reader,39.58,In stock,2,Medium,Neutral
Security,39.25,In stock,2,Medium,Neutral
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,3,Medium,Neutral
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,2,High,Neutral
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,2,Low,Neutral
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,3,High,Neutral
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,5,Low,Neutral
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,5,Low,Neutral
"Pop Gun War, Volume 1: Gift",18.97,In stock,1,Low,Neutral
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,2,Medium,Negative
Patience,10.16,In stock,3,Low,Neutral
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,4,Low,Neutral
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,1,High,Positive
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,1,High,Positive
On a Midnight Clear,14.07,In stock,3,Low,Positive
Obsidian (Lux #1),14.86,In stock,2,Low,Neutral
My Paris Kitchen: Recipes and Stories,33.37,In stock,2,Medium,Neutral
Masks and Shadows,56.4,In stock,2,High,Neutral
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,4,Low,Negative
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,2,High,Neutral
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,3,High,Neutral
